Date,Plug-in hybrid,Battery electric,Petrol/diesel hybrid,Diesel,Petrol
2019-01-01,53,85,373,5378,9152
2019-02-01,118,96,274,5143,7133
2019-03-01,70,104,288,6073,7844
2019-04-01,64,116,551,4719,6065
2019-05-01,98,122,571,5600,6844
2019-06-01,71,228,409,6622,7323
2019-07-01,62,111,523,4976,7060
2019-08-01,86,215,552,4941,7636
2019-09-01,106,526,458,5324,9016
2019-10-01,106,185,727,5545,9460
2019-11-01,84,179,606,5409,8525
2019-12-01,37,231,703,3891,7307
2020-01-01,92,165,665,5113,8237
2020-02-01,113,150,568,4376,7240
2020-03-01,59,164,523,3410,4916
2020-04-01,2,16,29,373,713
2020-05-01,53,81,739,3340,4984
2020-06-01,54,173,590,4870,6824
2020-07-01,71,126,1071,4916,6991
2020-08-01,62,162,1025,4197,6073
2020-09-01,55,273,949,3931,6843
2020-10-01,61,138,807,4371,7612
2020-11-01,92,197,1117,4601,7034
2020-12-01,55,267,758,3391,4960
2021-01-01,101,285,1090,5213,8243
2021-02-01,81,244,779,4553,7870
2021-03-01,151,483,882,6172,8979
2021-04-01,126,234,1114,5064,7508
2021-05-01,120,317,1252,5347,8516
2021-06-01,49,387,1130,5732,8773
2021-07-01,432,800,1177,5754,7803
2021-08-01,86,377,812,2437,3670
2021-09-01,541,1556,1460,5422,8659
2021-10-01,223,570,1571,5415,7662
2021-11-01,437,1031,1479,6013,8753
2021-12-01,152,1224,1254,4979,5670
2022-01-01,212,543,842,5347,7644
2022-02-01,389,744,1034,5607,5675
2022-03-01,445,1903,506,11182,8464
2022-04-01,1113,643,2163,1518,5293
2022-05-01,763,708,1674,3557,7506
2022-06-01,776,605,1177,3487,6750
2022-07-01,637,607,1793,3373,5488
2022-08-01,627,2604,1641,4425,6294
2022-09-01,496,2476,1690,4626,6561
2022-10-01,926,1202,2284,4579,6719
2022-11-01,544,2653,1710,5228,6608
2022-12-01,387,2381,1316,3923,4840
2023-01-01,504,1302,2162,3943,5523
2023-02-01,354,837,1277,3669,4288
2023-03-01,517,2703,2575,5083,6113
2023-04-01,568,1134,1812,3573,3831
2023-05-01,728,1278,2570,4440,5166
2023-06-01,1315,2717,4199,7362,8674
2023-07-01,405,892,1176,2014,2406
2023-08-01,778,998,2498,3075,3250
2023-09-01,766,2113,2230,3123,3548
2023-10-01,936,2180,2958,3484,4293
2023-11-01,1161,2755,3483,3505,4443
2023-12-01,987,3529,2646,1291,2101
2024-01-01,202,308,2441,5177,5397
2024-02-01,166,466,1946,4070,3899
2024-03-01,226,557,2701,4391,4507
2024-04-01,182,311,2670,3246,3539
2024-05-01,177,483,2643,3766,3810
2024-06-01,228,577,2570,3352,3253
2024-07-01,230,600,2478,3027,3740
2024-08-01,232,593,2960,3109,3844
2024-09-01,417,904,3750,3210,4221
2024-10-01,344,691,3940,3359,5121
2024-11-01,370,729,4694,3544,3702
2024-12-01,711,928,3173,3014,3250
